Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Dec 1, 2023",7:00p,Washington Wizards,125,Orlando Magic,130,Box Score,,"18,846",Kia Center,
"Fri, Dec 1, 2023",7:30p,Philadelphia 76ers,119,Boston Celtics,125,Box Score,,"19,156",TD Garden,
"Fri, Dec 1, 2023",7:30p,Memphis Grizzlies,108,Dallas Mavericks,94,Box Score,,"20,15",American Airlines Center,
"Fri, Dec 1, 2023",7:30p,New York Knicks,119,Toronto Raptors,106,Box Score,,"19,8",Scotiabank Arena,
"Fri, Dec 1, 2023",8:00p,San Antonio Spurs,106,New Orleans Pelicans,121,Box Score,,"17,028",Smoothie King Center,
"Fri, Dec 1, 2023",10:00p,Denver Nuggets,119,Phoenix Suns,111,Box Score,,"17,071",Footprint Center,
"Sat, Dec 2, 2023",4:00p,Golden State Warriors,112,Los Angeles Clippers,113,Box Score,,"19,37",Crypto.com Arena,
"Sat, Dec 2, 2023",5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117,Box Score,,"17,731",Spectrum Center,
"Sat, Dec 2, 2023",7:00p,Orlando Magic,101,Brooklyn Nets,129,Box Score,,"17,966",Barclays Center,
"Sat, Dec 2, 2023",7:00p,Cleveland Cavaliers,110,Detroit Pistons,101,Box Score,,"18,924",Little Caesars Arena,
"Sat, Dec 2, 2023",8:00p,New Orleans Pelicans,118,Chicago Bulls,124,Box Score,,"20,511",United Center,
"Sat, Dec 2, 2023",8:00p,Indiana Pacers,144,Miami Heat,129,Box Score,,"19,65",Kaseya Center,
"Sat, Dec 2, 2023",8:00p,Atlanta Hawks,121,Milwaukee Bucks,132,Box Score,,"17,866",Fiserv Forum,
"Sat, Dec 2, 2023",9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120,Box Score,,"20,277",American Airlines Center,
"Sat, Dec 2, 2023",9:00p,Memphis Grizzlies,109,Phoenix Suns,116,Box Score,,"17,071",Footprint Center,
"Sat, Dec 2, 2023",9:30p,Portland Trail Blazers,113,Utah Jazz,118,Box Score,OT,"18,206",Delta Center,
"Sat, Dec 2, 2023",10:00p,Denver Nuggets,117,Sacramento Kings,123,Box Score,,"17,829",Golden 1 Center,
"Sat, Dec 2, 2023",10:30p,Houston Rockets,97,Los Angeles Lakers,107,Box Score,,"18,997",Crypto.com Arena,
"Mon, Dec 4, 2023",7:30p,Boston Celtics,112,Indiana Pacers,122,Box Score,,"16,693",Gainbridge Fieldhouse,In-Season Tournament
"Mon, Dec 4, 2023",10:00p,New Orleans Pelicans,127,Sacramento Kings,117,Box Score,,"18,048",Golden 1 Center,In-Season Tournament
"Tue, Dec 5, 2023",7:30p,New York Knicks,122,Milwaukee Bucks,146,Box Score,,"17,448",Fiserv Forum,In-Season Tournament
"Tue, Dec 5, 2023",10:00p,Phoenix Suns,103,Los Angeles Lakers,106,Box Score,,"18,664",Crypto.com Arena,In-Season Tournament
"Wed, Dec 6, 2023",7:00p,Orlando Magic,111,Cleveland Cavaliers,121,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Wed, Dec 6, 2023",7:00p,Memphis Grizzlies,116,Detroit Pistons,102,Box Score,,"12,862",Little Caesars Arena,
"Wed, Dec 6, 2023",7:00p,Philadelphia 76ers,131,Washington Wizards,126,Box Score,,"15,568",Capital One Arena,
"Wed, Dec 6, 2023",7:30p,Brooklyn Nets,114,Atlanta Hawks,113,Box Score,,"15,906",State Farm Arena,
"Wed, Dec 6, 2023",7:30p,San Antonio Spurs,94,Minnesota Timberwolves,102,Box Score,,"18,024",Target Center,
"Wed, Dec 6, 2023",7:30p,Miami Heat,112,Toronto Raptors,103,Box Score,,"19,084",Scotiabank Arena,
"Wed, Dec 6, 2023",8:00p,Charlotte Hornets,100,Chicago Bulls,111,Box Score,,"17,689",United Center,
"Wed, Dec 6, 2023",8:00p,Oklahoma City Thunder,101,Houston Rockets,110,Box Score,,"16,291",Toyota Center,
"Wed, Dec 6, 2023",8:30p,Utah Jazz,97,Dallas Mavericks,147,Box Score,,"19,877",American Airlines Center,
"Wed, Dec 6, 2023",10:00p,Portland Trail Blazers,106,Golden State Warriors,110,Box Score,,"18,064",Chase Center,
"Wed, Dec 6, 2023",10:00p,Denver Nuggets,102,Los Angeles Clippers,111,Box Score,,"16,365",Crypto.com Arena,
"Thu, Dec 7, 2023",5:00p,Indiana Pacers,128,Milwaukee Bucks,119,Box Score,,"16,837",T-Mobile Arena,In-Season Tournament
"Thu, Dec 7, 2023",9:00p,New Orleans Pelicans,89,Los Angeles Lakers,133,Box Score,,"18,017",T-Mobile Arena,In-Season Tournament
"Fri, Dec 8, 2023",7:00p,Toronto Raptors,116,Charlotte Hornets,119,Box Score,,"11,526",Spectrum Center,
"Fri, Dec 8, 2023",7:00p,Detroit Pistons,91,Orlando Magic,123,Box Score,,"18,655",Kia Center,
"Fri, Dec 8, 2023",7:00p,Atlanta Hawks,114,Philadelphia 76ers,125,Box Score,,"19,746",Wells Fargo Center,
